Bolinha 1,Bolinha 2,Bolinha 3,Bolinha 4
"1,87","1,5","1,16","0,79"
"1,94","1,44","1,09","0,81"
"1,81","1,47","1,06","0,72"
"1,97","1,44","1,09","0,72"
"1,85","1,43","1,09","0,72"
"1,84","1,44","1,09","0,81"
"1,84","1,47","1,09","0,75"
"1,97","1,44",1,"0,82"
"1,85","1,47","1,06","0,75"
"1,91","1,47","1,1","0,84"
"1,81","1,37","1,06","0,68"
"1,94","1,41","1,06","0,82"
"2,12","1,31","1,1","0,72"
2,"1,38","1,12","0,68"
"1,97","1,56","1,12","0,72"
"2,03","1,37","1,09","0,79"
"1,97","1,44","1,13","0,79"
"1,94","1,38",1,"0,78"
"2,07","1,32","1,19","0,75"
"2,06","1,34","1,07","0,75"
